117, 365, -7.625, -0.375
693, 611, 12.75, 30.375
516, 335, 16.5, 8.25
122, 28, 2.25, 1.5
560, 333, 15.75, 2.75
589, 461, 16.125, 31.125
696, 8, 3.0, 1.75
366, 369, -0.75, 19.125
456, 337, 12.125, 14.0
455, 541, -12.625, 20.75
409, 260, 11.25, 9.125
12, 173, -2.5, 1.75
67, 376, -4.25, -3.125
215, 352, -9.5, 7.625
463, 541, -12.5, 21.375
572, 482, 12.0, 22.375
414, 163, 9.125, 0.5
294, 436, -12.75, 9.625
175, 106, 2.0, 4.875
114, 144, -0.625, 5.125
372, 663, -14.25, -3.5
641,634, -1.625, 33.25
114,7,1.125, 2.25
650,632,0.5,33.375
386,85,5.375,-1.375
424,690,-17.625,-1.5
16,535,-0.125,0.125
66,380,-4.25,-2.0
548,276,12.375,-0.375
305,56, 5.25, 0.5
400,689,-14.5,-3.625
413,100, 5.375,-2.0
618,206,2.875,-3.875
316,612,-11.75,-2.875
414,548,16.75,14.625
148,342,-8.625,3.0
286,627, -8, -5.125
135,26,1.5,2.0
568,392,17.125,10.75
353,622,-14.625,-1.25
581, 461, 15.125,18.875
319, 480, -13.75, 8.75
477, 320, 13.125, 1.5
503, 375, 13.375, 14.75
442, 551, -15.5, 17.625
331, 353, -2.5, 16.125
534, 434, 11.875, 19.5
325, 407, -8.75, 14.875
470, 484, -2.75, 24
446, 335, 10.375, 14.25
553, 328, 15.625, 3.875
496, 419, 8.375, 20.125
535, 526, 0.125, 26.75
302, 306, 0.25, 14.25
481, 418, 6.75, 19.875
526, 599, -11.625, 23.375
345, 538, -14.875, 6.625
366, 331, 2.5, 15.25
585, 462, 13.125, 18.875
467, 461, -0.125, 21.375
454,697,-19.625,-0.25
689,644, 4.5, 5.125
539,547,-4.375,28.375
606,478,16.625,20.25
644,455,20,11.5
543,463,9.875,23.875
595,467,16.25,19.75
561,560,-3.25,29.5
532,526,-1.625,27.75
459,599,-19.25,14.0
550,584,-9.25,27.875
605,582,1.25,31
484,447,4.0,24.125
521,620,-18,21.25
662,591,10.25,30.875
467,561,-15.125,20.25
420,541,-16.125,15.75
421,521,-13.875,18.375
665,462,20.875,9.75
599,597,-3.25,31.25
